set DEPOTS :=D1 D2 D3 D4 D5 D6 D7 ;
set PLATFORMS :=PF1 PF2 ;
set CLIENTS :=C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 ;
param T := 159.50676921675287;
# demand for nodes
param b := 
  D1  -19
  D2  -12
  D3  -12
  D4  -19
  D5  -12
  D6  -11
  D7  -19
  C1  8
  C2  7
  C3  4
  C4  7
  C5  5
  C6  9
  C7  4
  C8  11
  C9  9
  C10  10
  C11  30
;
# Arcs parameters : u=capacity; c=fixed cost; h=unit cost; t=time
param : A : u c h t :=
D1  PF1  2400 67.91995698654591 1.5294617013246374 1.0
D1  PF2  3800 35.35724141465163 14.318170780274011 1.0
D2  PF1  3800 46.78405854491294 15.89723934421417 1.0
D2  PF2  5400 59.153774441105206 19.025533013155698 1.0
D3  PF1  800 78.35018266628666 6.175624022313062 1.0
D3  PF2  1400 34.852968566746284 15.098528501557666 1.0
D4  PF1  7700 83.47893698956729 3.13686096184815 1.0
D4  PF2  8100 61.488898794172286 1.6959213829500759 1.0
D5  PF1  4900 30.92230049726046 8.300779210391926 1.0
D5  PF2  5900 50.40652581198489 9.529738478509497 1.0
D6  PF1  4700 68.8849825464915 6.820605670536553 1.0
D6  PF2  3200 28.717911039250268 18.695997111005457 1.0
D7  PF1  1000 48.432109863277574 16.347477155626635 1.0
D7  PF2  2700 26.030500432676178 13.755616729273367 1.0
PF1  C1  1200 42.21977448004246 14.604121983520642 1.0
PF1  C2  4300 79.17408329432473 2.1709860321949743 1.0
PF1  C3  500 64.5250268936062 11.148173352103218 1.0
PF1  C4  1700 12.152961574416262 16.95364461539516 1.0
PF1  C5  3000 11.0518749162766 1.5555926658866985 1.0
PF1  C6  1100 21.04991511992312 15.128560318165306 1.0
PF1  C7  3900 49.48983695800556 3.004664066496933 1.0
PF1  C8  2600 56.108489646329744 6.370459736650716 1.0
PF1  C9  3000 94.30162697604356 13.991030833647018 1.0
PF1  C10  2300 65.72021232927295 9.91768982490858 1.0
PF1  C11  4500 81.71652720612994 11.654244677105218 1.0
PF2  C1  3200 39.5432678284092 12.619069607045342 1.0
PF2  C2  800 83.4060078067415 9.946294197868705 1.0
PF2  C3  3900 70.47920275984882 10.719212611699518 1.0
PF2  C4  3700 39.818168976452455 16.62258254812216 1.0
PF2  C5  2100 47.73423769760954 13.737777494907512 1.0
PF2  C6  4600 86.64754657101751 16.78582099287602 1.0
PF2  C7  3600 55.69171649895058 7.548123357348553 1.0
PF2  C8  2000 40.41686952072372 1.4633116587670214 1.0
PF2  C9  2400 55.822303549995816 11.510833309130636 1.0
PF2  C10  4500 51.64730672186157 7.4480815014019335 1.0
PF2  C11  2100 61.35843391607393 8.267580947820218 1.0
;
# platforms cost parameters
param g := 
  PF1  72.55573282975462
  PF2  36.06615080953071
;
# platforms time parameters
param s := 
  PF1  1.0
  PF2  1.0
;
 end;
 
